cam000099_20240107_001706,1
cam000099_20240107_002206,1
cam000099_20240107_002706,1
cam000099_20240107_003206,1
cam000099_20240107_003707,1
cam000099_20240107_004207,1
cam000099_20240107_004707,1
cam000099_20240107_005207,1
cam000099_20240107_005708,1
cam000099_20240107_010208,1
cam000099_20240107_010708,1
cam000099_20240107_011208,1
cam000099_20240107_011708,1
cam000099_20240107_012208,1
cam000099_20240107_012709,0
cam000099_20240107_013209,1
cam000099_20240107_013709,1
cam000099_20240107_014209,1
cam000099_20240107_014709,1
cam000099_20240107_015209,0
cam000099_20240107_015710,1
cam000099_20240107_020210,1
cam000099_20240107_020710,1
cam000099_20240107_021211,1
cam000099_20240107_021711,1
cam000099_20240107_022211,1
cam000099_20240107_022711,1
cam000099_20240107_023211,1
cam000099_20240107_023711,1
cam000099_20240107_024212,1
cam000099_20240107_024712,1
cam000099_20240107_025212,0
cam000099_20240107_025712,1
cam000099_20240107_030214,1
cam000099_20240107_030714,1
cam000099_20240107_031214,1
cam000099_20240107_031714,1
cam000099_20240107_032215,1
cam000099_20240107_032715,1
cam000099_20240107_033215,1
cam000099_20240107_033715,1
cam000099_20240107_034215,1
cam000099_20240107_034715,1
cam000099_20240107_035215,1
